Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
168.5820170056913,0.01338159933667479,-34.87143587185298,-92.03323472785659
173.1928646720133,0.01487860370989159,-34.5814037877227,-91.78569041362641
177.9298225639668,0.01309374935150888,-34.26460342362852,-91.85854671922749
182.7963398930983,0.01444090092960784,-33.96387848746986,-91.75284846207593
187.7959602095394,0.01319657791986654,-33.60797150828581,-92.12709709674787
192.93232398224,0.01222580282110097,-33.28951979382504,-92.33801482780886
198.2091712497724,0.014699583239641,-33.07495716745458,-91.92843140403627
203.6303443436365,0.0143355470991604,-32.72393842530975,-91.87742286403794
209.1997906860508,0.01481043624589681,-32.45516975310912,-92.48537874379521
214.9215656642636,0.01428465951555354,-32.11174820281552,-92.40819757586979
220.7998355834796,0.01365951678998264,-31.7205763261259,-92.69349538558896
